,Uncheck External Calls,Strict Balance Equality,Transaction State Dependency,Block Info Dependency,Greedy Contract,DoS Under External Influence,Nest Call,Reentrancy
a646e29877d52b9e2de457eca09c724ff16d0a2b,0,0,0,0,0,0,0,0
1b8f71e4eec8df98598bbc3093cafeb57c7109ae,0,0,0,0,0,0,0,0
b375d24ffc46885c3bdd5ed275a248efe76a25c9,0,0,0,0,0,0,0,0
3f0a24a07b2d729a02640deb1d27cd00da72b799,0,0,0,0,0,0,0,0
16a0772b17ae004e6645e0e95bf50ad69498a34e,0,0,0,0,0,0,0,0
f0a924661b0263e5ce12756d07f45b8668c53380,0,0,0,0,0,0,0,0
41ff0796a6c7a201476bff53c4cb2c48b084e5e0,0,0,0,0,0,0,0,0
d96e8733dfd61fd37936450ea17176288c09a2a9,0,0,0,0,0,0,0,0
c0829421c1d260bd3cb3e0f06cfe2d52db2ce315,0,0,0,0,0,0,0,0
7f0c38d5e951c47d96d3ec96e3127c73ed4b278e,0,0,0,0,0,0,0,0
0F4caFDCE3737601C598BcFD4Bbd69F75786bA40,0,0,0,0,0,0,0,0
15dbdB25f870f21eaf9105e68e249E0426DaE916,0,0,0,0,0,0,0,0
035a401972f228b58dcae76bf318b54ed036d680,0,0,0,0,0,0,0,0
d77fc35cc9007557dcd18bfe26fe66f1ea3a0e7f,0,0,0,0,0,0,0,0
fd26d4fedea09da1bb2c4e410c747dda72fdb506,0,0,0,0,0,0,0,0
aac8253a42c213b6a9cdf4f25cd5de29d09b96f9,0,0,0,0,0,0,0,0
83e82cea898b1ed1785bc3beac86034913831e60,0,0,0,0,0,0,0,0
9b8c435196c8398ff021f375535cf04e3459b15c,0,0,0,0,0,0,0,0
b53613FA4ad09f00e41A91B7dFdfa3E98c76F4c0,0,0,0,0,0,0,0,0
5d356ebdaed2798547889ffa12fc587347e5ad89,0,0,0,0,0,0,0,0
4490f9807965c49a2471bd7b121a80f0b3861e5c,0,0,0,0,0,0,0,0
519c5dcaa311ca31009a3fcc7e03f7b24a55ff42,0,0,0,0,0,0,0,0
97ec9bfb0f6672c358620615a1e4de0348aea05c,0,1,0,0,0,0,0,0
388a037ab169b128e70cf67e1228ecd03f0400f2,0,0,0,0,0,0,0,0
